fighter,mma_record,height,weight,reach,stance,dob,sig_str_per_min,sig_str_acc,sig_str_absorbed_per_min,sig_str_def,td_avg,td_acc,td_def,sub_avg
AJ Dobson,Record: 6-2-0 (1 NC),185.4,Middleweight,193.0,Orthodox,1992-01-18,4.34,46%,6.00,47%,1.75,80%,64%,0.4
AJ Fletcher,Record: 10-2-0,177.8,Welterweight,170.2,Switch,1997-02-18,3.54,49%,4.59,47%,1.92,41%,28%,1.1
AJ Fonseca,Record: 5-4-0,162.6,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
AJ Matthews,Record: 8-7-0,180.3,Middleweight,,,,5.11,52%,4.96,51%,0.00,0%,100%,0.0
AJ McKee,Record: 8-0-0,177.8,Featherweight,,,,2.75,32%,0.92,80%,11.01,100%,100%,11.0
AJ Siscoe,Record: 1-2-0,170.2,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aalon Cruz,Record: 8-4-0,182.9,Featherweight,198.1,Switch,1989-09-20,7.58,39%,8.88,58%,0.00,0%,0%,0.0
Aaron Brink,Record: 26-26-0 (2 NC),190.5,Lightheavyweight,,Orthodox,1974-11-12,3.49,42%,5.71,57%,0.00,0%,0%,0.0
Aaron Ely,Record: 5-2-0,172.7,Bantamweight,,,1989-03-18,0.82,15%,0.66,69%,2.47,100%,50%,4.9
Aaron Jeffery,Record: 10-3-0,188.0,Middleweight,185.4,Orthodox,1992-11-14,3.10,45%,4.46,34%,0.00,0%,50%,0.0
Aaron Lanfranco,Record: 5-1-0,,Lightweight,,,1986-08-26,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aaron Miller,Record: 14-10-0 (1 NC),175.3,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aaron Phillips,Record: 12-5-0,175.3,Bantamweight,180.3,Southpaw,1989-08-05,1.51,53%,3.66,43%,0.86,50%,44%,0.6
